,participant,scenario,taskId,planning_distance,navigating_distance,numScreenLockEvents
935,56,4,1,0,86.83,2
936,56,4,2,0.7,221.17,1
937,56,4,3,1.21,87.7,1
938,56,4,4,0,129.76,1
940,57,1,1,0.12,210.58,4
941,57,1,2,0,313.11,5
942,57,1,3,0.09,100.25,2
943,57,1,4,4.97,160.74,3
945,57,2,1,0,343.54,7
946,57,2,2,0,152.05,2
947,57,2,3,0,84.45,2
948,57,2,4,4.54,45,1
950,57,3,1,0.24,227,7
951,57,3,2,0,173.31,5
952,57,3,3,0.27,212.58,5
953,57,3,4,0,51.26,1
955,57,4,1,2.31,219.8,7
956,57,4,2,1.48,335.81,8
957,57,4,3,0.09,501.54,18
958,57,4,4,0,178.84,4
960,58,1,1,0,66.53,1
961,58,1,2,1.43,233.52,3
962,58,1,3,0,142.68,2
963,58,1,4,0,148.67,2
965,58,2,1,0.03,248.8,3
966,58,2,2,5.71,97.33,1
967,58,2,3,4.76,145.84,2
968,58,2,4,2.22,116.25,2
970,58,3,1,0,143.85,2
971,58,3,2,2.84,116.48,2
972,58,3,3,0.08,188.21,4
973,58,3,4,0.73,109.75,1
975,58,4,1,6.01,191.85,2
976,58,4,2,2.91,279.54,5
977,58,4,3,0.46,194.41,1
978,58,4,4,0,166.43,1
980,59,1,1,0,140.01,3
981,59,1,2,4.43,164.45,4
982,59,1,3,8.49,255.7,9
983,59,1,4,0,164.35,5
985,59,2,1,0,222.88,6
986,59,2,2,0.53,77.37,3
987,59,2,3,0,174.58,5
988,59,2,4,0,182.43,6
990,59,3,1,0.49,515.76,12
991,59,3,2,3.1,140.95,3
992,59,3,3,0.34,214.97,6
993,59,3,4,0.8,127.99,3
995,59,4,1,2.29,113.87,5
996,59,4,2,3.78,220.15,7
997,59,4,3,4.52,145.34,4
